country,temperature_celsius,wind_kph,pressure_mb,humidity,cloud,uv_index,hora_local,día_del_año,CondCategoria
Mexico,16.3,3.6,1027.0,88,75,1.0,6,228,Nublado
Mexico,17.1,6.1,1027.0,77,75,1.0,6,229,Nublado
Mexico,15.2,6.8,1028.0,94,75,1.0,6,230,Nublado
Mexico,14.7,4.0,1018.0,90,82,1.0,6,231,Lluvia
Mexico,15.2,9.0,1028.0,82,75,1.0,6,232,Nublado
Mexico,15.3,9.0,1029.0,72,75,1.0,6,233,Nublado
Mexico,15.0,6.8,1030.0,77,0,1.0,6,234,Despejado
Mexico,14.1,4.0,1028.0,82,100,1.0,6,235,Nublado
Mexico,15.3,11.2,1028.0,67,100,1.0,6,236,Nublado
Mexico,16.3,4.0,1028.0,88,75,1.0,6,237,Nublado
Mexico,14.1,6.8,1029.0,94,75,1.0,6,238,Nublado
Mexico,14.3,11.2,1030.0,88,75,1.0,6,239,Nublado
Mexico,15.0,9.0,1028.0,82,75,1.0,6,240,Nublado
Mexico,16.1,4.0,1028.0,72,100,1.0,6,241,Nublado
Mexico,15.2,3.6,1028.0,94,100,1.0,6,242,Nublado
Mexico,15.2,13.0,1028.0,88,100,1.0,6,243,Nublado
Mexico,16.3,3.6,1027.0,94,75,1.0,6,244,Nublado
Mexico,15.2,4.0,1026.0,88,75,1.0,6,245,Nublado
Mexico,16.3,9.0,1025.0,94,100,1.0,6,246,Nublado
Mexico,17.2,6.1,1026.0,83,75,1.0,6,247,Nublado
Mexico,14.1,3.6,1017.0,91,44,1.0,6,248,Nublado
Mexico,15.1,5.4,1017.0,87,74,1.0,6,249,Lluvia
Mexico,17.1,6.8,1025.0,83,75,1.0,6,250,Nublado
Mexico,16.2,15.1,1024.0,77,75,1.0,6,251,Nublado
Mexico,14.1,19.1,1025.0,72,100,1.0,6,252,Nublado
Mexico,12.4,9.0,1025.0,82,75,1.0,6,253,Nublado
Mexico,17.3,9.0,1024.0,77,100,1.0,6,254,Nublado
Mexico,14.4,3.6,1015.0,91,73,1.0,6,255,Lluvia
Mexico,16.1,9.0,1024.0,88,75,1.0,6,256,Nublado
Mexico,17.4,3.6,1026.0,88,100,1.0,6,257,Nublado
Mexico,16.1,4.0,1027.0,88,75,1.0,6,258,Nublado
Mexico,15.5,3.6,1016.0,99,100,1.0,6,259,Otro
Mexico,16.1,3.6,1025.0,88,100,1.0,5,260,Nublado
Mexico,16.4,3.6,1025.0,88,100,1.0,5,261,Nublado
Mexico,15.6,3.6,1014.0,99,100,1.0,4,262,Otro
Mexico,17.3,3.6,1024.0,83,75,1.0,4,263,Nublado
Mexico,16.1,3.6,1024.0,88,50,1.0,4,264,Nublado
Mexico,16.4,5.4,1023.0,82,50,1.0,4,265,Nublado
Mexico,16.2,3.6,1023.0,77,50,1.0,4,266,Nublado
Mexico,14.1,6.1,1014.0,99,100,1.0,3,267,Otro
Mexico,16.1,7.2,1021.0,77,75,1.0,3,268,Nublado
Mexico,16.4,9.7,1021.0,77,75,1.0,3,269,Nublado
Mexico,15.2,6.1,1022.0,88,100,1.0,3,270,Nublado
Mexico,13.3,3.6,1022.0,100,100,1.0,4,271,Lluvia
Mexico,13.3,3.6,1023.0,94,75,1.0,4,272,Nublado
Mexico,15.2,5.8,1025.0,94,100,1.0,3,273,Nublado
Mexico,15.3,6.1,1025.0,82,100,1.0,3,274,Nublado
Mexico,14.0,7.9,1025.0,82,75,1.0,4,275,Nublado
Mexico,12.0,10.8,1026.0,94,100,1.0,3,276,Nublado
Mexico,12.2,5.8,1024.0,58,50,1.0,3,277,Nublado
Mexico,10.7,6.5,1017.0,98,100,1.0,3,278,Otro
Mexico,10.9,6.8,1020.0,82,100,1.0,3,279,Nublado
